(143270):14g8:[#]{04120609}      | Zooming in ... 
(3C5A98):14gj:[:]{03E005E6}      | You are feeling rather warm.
(A80000):14gj:[!]{03E105ED}      | It's deep water there! You need to swim, or go by watercraft.
(663333):14gj:[&]{03D905E4}      | You are getting hungry.
(3C5A98):14gk:[:]{03D605E6}      | You are feeling rather warm.
(3C5A98):14gl:[:]{03D305DC}      | You are getting tired.
(663333):14gl:[&]{03CB05D8}      | You are hungry.
(A80000):14gl:[!]{03CB05D8}      | It's deep water there! You need to swim, or go by watercraft.
(663333):14gl:[&]{03C405D2}      | You are hungry.
(A80000):14gl:[!]{03C305D2}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):14gm:[:]{03BE05D1}      | You are feeling rather warm.
(663333):14gm:[&]{03BB05D1}      | You are hungry.
(A80000):14gm:[!]{03C105DF}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):14gn:[:]{03C005E1}      | You are feeling rather warm.
(663333):14gn:[&]{03C205E5}      | You are hungry.
(3C5A98):24g0:[:]{03D005F3}      | You are feeling rather warm.
(663333):24g0:[&]{03D005F3}      | You are hungry.
(CC3333):24g0:[&]{03D905F9}      | You are very hungry!
(A80000):24g0:[!]{03DB05F9}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):24g0:[:]{03DC05FD}      | You are too tired to stay on your feet.
(3C5A98):24g0:[:]{03DC05FD}      | You crawl.
(3C5A98):24g0:[:]{03DF0600}      | You lay down and fall asleep.
(143270):24g0:[#]{03DF0600}      | Zzzz... [HOLD ON]
(663333):24g1:[&]{03DF0600}      | Hunger wakes you.
(3C5A98):24g2:[:]{03DF0600}      | You are feeling rather warm.
(CC3333):24g2:[&]{03DF0600}      | You are very hungry!
(663333):24g2:[&]{03DF0600}      | You are thirsty.
(147870):24g2:[?]{03DF0600}      | Drink from the natural source?
(3C5A98):24g3:[:]{03DF0600}      | You are feeling rather warm.
(3C5A98):24g3:[:]{03DF0600}      | You gulp that water.
(008000):24g3:[=]{03DF0600}      | Your thirst is extinguished.
(000000):24g3:[I]{03DF0600}      | It's plain good roasted elk cut and happily consumed too.
(3C5A98):24g3:[:]{03DF0600}      | You finish eating the roasted elk cut.
(000000):24g3:[I]{03DF0600}      | It's plain good roasted elk cut.
(008000):24g3:[=]{03DF0600}      | Burp! Your stomach is full.
(3C5A98):24g3:[:]{03DF0600}      | You finish eating the roasted elk cut.
(3C5A98):24g3:[:]{03DF0600}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(A80000):24g3:[!]{03DF0600}      | It's deep water there! You need to swim, or go by watercraft.
(663333):24g3:[&]{03DF0600}      | You get back on your feet.
(A80000):24g3:[!]{03DF0600}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):24g4:[:]{03ED05FA}      | You are feeling rather warm.
(3C5A98):24g5:[:]{03F40608}      | As you explore the wilderness a settlement comes into view up ahead!
(663333):24g5:[&]{03FB060A}      | You are a bit hungry.
(3C5A98):24g5:[:]{03FD060E}      | You are too tired to stay on your feet.
(663333):24g5:[&]{03FD060E}      | You are a bit hungry.
(3C5A98):24g5:[:]{03FD060E}      | You crawl.
(3C5A98):24g5:[:]{04010612}      | You lay down and fall asleep.
(143270):24g5:[#]{04010612}      | Zzzz... [HOLD ON]
(000000):24gf:[B]{04010612}      | Brr! You wake up shivering from the coldness.
(663333):24gf:[&]{04010612}      | You get back on your feet.
(3C5A98):24gg:[:]{04020613}      | You feel comfortably warm.
(CC3333):24gg:[&]{04030614}      | You are hungry as a bear!
(000000):24gg:[I]{04050616}      | It's plain good roasted hare cut and happily consumed too.
(3C5A98):24gg:[:]{04050616}      | You finish eating the roasted hare cut.
(000000):24gg:[I]{04050616}      | It's plain good roasted hare cut.
(008000):24gg:[=]{04050616}      | Burp! Your stomach is full.
(3C5A98):24gg:[:]{04050616}      | You finish eating some of that roasted hare cut.
(A80000):24gg:[!]{04090616}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):24gh:[:]{04150619}      | You are feeling rather warm.
(A80000):24gh:[!]{04120614}      | It's deep water there! You need to swim, or go by watercraft.
(000000):24gh:[W]{04130614}      | Water
(A80000):24gh:[!]{04120617}      | It's deep water there! You need to swim, or go by watercraft.
(663333):24gh:[&]{041C061F}      | You are a bit thirsty.
(3C5A98):24gi:[:]{04250626}      | You are feeling rather warm.
(A80000):24gi:[!]{04250629}      | It's deep water there! You need to swim, or go by watercraft.
(663333):24gi:[&]{0426062C}      | You are a bit thirsty.
(3C5A98):24gj:[:]{0433063A}      | You are feeling rather warm.
(663333):24gj:[&]{04390636}      | You are getting hungry.
(3C5A98):24gk:[:]{043C0636}      | You are feeling rather warm.
(663333):24gk:[&]{0441063A}      | You are hungry.
(A80000):24gk:[!]{0445063E}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):24gl:[:]{04420636}      | You are feeling rather warm.
(A80000):24gl:[!@]{04410634}     | You encounter an animal. You think it's an Elk...
(143270):24gl:[#]{04410634}      | Zooming in ... 
(000000):24gl:[T]{04410634}      | There is pine mire here and you encounter something.
(3C5A98):24gl:[:]{04410634}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(AB5700):24gl:[+]{04410634}      | You swing your arm back preparing to throw the spear.
(143270):24gl:[#]{04410634}      | Aiming Zone: Body
(000000):24gl:[Y]{04410634}      | You try to throw your spear at the elk.
(000000):24gl:[Y]{04410634}      | You execute a steady throw but the spear travels badly off course barely reaching the elk.
(000000):24gl:[T]{04410634}      | The spear scratches its abdomen.
(A80000):24gl:[!]{04410634}      | The elk bawls in pain.
(000000):24gl:[E]{04410634}      | Elk flees.
(3C5A98):24gl:[:]{04410634}      | The water here is shallow enough to wade.
(147870):24gl:[?]{04410634}      | Step into water?
(3C5A98):24gl:[:]{04410634}      | You get out of the water.
(AB5700):24gl:[+]{04410634}      | Use this command also to unpack your pack animal or pick items from your companion.
(3C5A98):24gl:[:]{04410634}      | You pick up the spear.
(3C5A98):24gl:[:]{04410634}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(3C5A98):24gl:[:]{04420634}      | You begin sneaking, trying to stay hidden and move as quietly as possible.
(663333):24gl:[&]{04420634}      | You sneak ahead.
(000000):24gl:[T]{04420634}      | The elk seems alert. 
(000000):24gl:[E]{04420634}      | Elk flees.
(663333):24gl:[&]{04420634}      | You sneak ahead.
(663333):24gl:[&]{04420634}      | You fail to sneak unnoticeably.
(663333):24gl:[&]{04420634}      | You move like a ghost.
(663333):24gl:[&]{04420634}      | You fail to sneak unnoticeably.
(3C5A98):24gl:[:]{04420634}      | You quit hiding and sneaking.
(000000):24gl:[Y]{04420633}      | You hear something running away in the north.
(143270):24gl:[#]{04420633}      | Using: TRACKING
(000000):24gl:[Y]{04420633}      | You notice here very fresh elk tracks leading to north-east.
(143270):24gl:[#]{04420633}      | Using: TRACKING
(000000):24gl:[Y]{04420633}      | You notice here very fresh elk tracks leading to south-east.
(143270):24gl:[#]{04420633}      | Using: TRACKING
(000000):24gl:[Y]{04420633}      | You notice here very fresh elk tracks leading to north-east.
(143270):24gl:[#]{04420633}      | Using: TRACKING
(000000):24gl:[Y]{04420633}      | You notice here very fresh elk tracks leading to north-east.
(3C5A98):24gl:[:]{04420633}      | The water here is shallow enough to wade.
(147870):24gl:[?]{04420633}      | Step into water?
(3C5A98):24gl:[:]{04420633}      | You get out of the water.
(000000):24gl:[Y]{04420633}      | You hear something running away in the south-east.
(3C5A98):24gl:[:]{04420633}      | The water here is shallow enough to wade.
(147870):24gl:[?]{04420633}      | Step into water?
(3C5A98):24gl:[:]{04420633}      | You get out of the water.
(A80000):24gl:[!]{04420633}      | There's a young spruce blocking your way!
(000000):24gl:[Y]{04420633}      | You hear something running away in the south-east.
(143270):24gl:[#]{04420633}      | You see a growing unfamiliar berry shrub here.
(143270):24gl:[#]{04420633}      | You see 2 growing unfamiliar berry shrubs here.
(143270):24gl:[#]{04420633}      | You see a growing unfamiliar berry shrub here.
(143270):24gl:[#]{04420633}      | You see a growing unfamiliar berry shrub here.
(A80000):24gl:[!]{04430633}      | You can't hide now as you are clearly seen at this location.
(143270):24gl:[#]{04430633}      | You see a growing puzzling grass patch here.
(AB5700):24gl:[+]{04430633}      | You swing your arm back preparing to throw the spear.
(143270):24gl:[#]{04430633}      | Aiming Zone: Body
(000000):24gl:[Y]{04430633}      | You try to throw your spear at the elk.
(000000):24gl:[Y]{04430633}      | You carry out a perfectly true throw. The spear hits straight on the elk but it moves fast enough to get out of the way.
(000000):24gl:[Y]{04430633}      | You narrowly miss the elk.
(AB5700):24gl:[+]{04430633}      | The broad axe wielded as a primary weapon.
(3C5A98):24gl:[:]{04430633}      | The water here is shallow enough to wade.
(147870):24gl:[?]{04430633}      | Step into water?
(A80000):24gl:[!]{04430633}      | It's deep water there! You need to swim, or go by watercraft.
(147870):24gl:[?]{04430633}      | Swim?
(663333):24gl:[&]{04430633}      | Your swimming performance is just a little disturbed due to the load you are carrying and being fatigued.
(3C5A98):24gl:[:]{04430633}      | You enter the water.
(663333):24gl:[&]{04430633}      | You swim at ease.
(AB5700):24gl:[+]{04430633}      | Use this command also to unpack your pack animal or pick items from your companion.
(3C5A98):24gl:[:]{04430633}      | You pick up the spear.
(663333):24gl:[&]{04430633}      | You swim at ease.
(3C5A98):24gl:[:]{04430633}      | The water here is shallow enough to wade.
(3C5A98):24gl:[:]{04420633}      | You get out of the water.
(143270):24gl:[#]{04420633}      | You see 2 growing unfamiliar berry shrubs here.
(143270):24gl:[#]{04420633}      | You see 2 growing unfamiliar berry shrubs here.
(143270):24gl:[#]{04420633}      | You see a growing unfamiliar berry shrub here.
(143270):24gl:[#]{04420633}      | You see 2 growing unfamiliar berry shrubs here.
(143270):24gl:[#]{04420633}      | You see 3 growing unfamiliar berry shrubs here.
(143270):24gl:[#]{04420633}      | You see 3 growing unfamiliar berry shrubs here.
(000000):24gl:[Y]{04420633}      | You hear willow grouse cooing in the south.
(A80000):24gl:[!]{04420633}      | There's a young pine blocking your way!
(143270):24gl:[#]{04420633}      | Zooming out ... 
(143270):24gl:[#]{04420633}      | Using: TRACKING
(000000):24gl:[Y]{04420633}      | You walk around a little looking for tracks...
(000000):24gl:[Y]{04420633}      | You notice here very fresh elk tracks leading to north-west.
(663333):24gl:[&]{04420633}      | You are thirsty.
(143270):24gl:[#]{04410632}      | Using: TRACKING
(000000):24gl:[Y]{04410632}      | You walk around a little looking for tracks...
(000000):24gl:[Y]{04410632}      | You notice here fresh elk tracks leading to north-west.
(143270):24gl:[#]{04400631}      | Using: TRACKING
(000000):24gl:[Y]{04400631}      | You walk around a little looking for tracks...
(3C5A98):24gm:[:]{04400631}      | You are feeling rather warm.
(000000):24gm:[Y]{04400631}      | You don't notice any tracks around here.
(143270):24gm:[#]{04410632}      | Zooming in ... 
(000000):24gm:[T]{04410632}      | There is pine mire here and you take a closer look at this area.
(663333):24gm:[&]{04410632}      | You are thirsty.
(000000):24gm:[I]{04410632}      | It's plain good roasted hare cut and happily consumed too.
(3C5A98):24gm:[:]{04410632}      | You finish eating the roasted hare cut.
(A80000):24gm:[!]{04410632}      | You don't have anything to eat.
(147870):24gm:[?]{04410632}      | Drink from the natural source?
(3C5A98):24gm:[:]{04410632}      | You gulp that water.
(008000):24gm:[=]{04410632}      | Your thirst is extinguished.
(000000):24gm:[Y]{04410632}      | You hear capercaillie cooing in the south-west.
(000000):24gm:[Y]{04410632}      | You hear capercaillie cooing in the south.
(143270):24gm:[#]{04410632}      | Using: TRACKING
(000000):24gm:[Y]{04410632}      | You notice here quite fresh elk tracks leading to north-west.
(143270):24gm:[#]{04400631}      | Using: TRACKING
(000000):24gm:[Y]{04400631}      | You notice here very fresh elk tracks leading to south-west.
(000000):24gm:[Y]{04400632}      | You hear something running away in the north-east.
(143270):24gm:[#]{04400631}      | You see a rock here.
(143270):24gm:[#]{04400631}      | You see a rock here.
(000000):24gm:[Y]{04400631}      | You hear something running away in the north-east.
(A80000):24gm:[!]{04400631}      | There's a spruce blocking your way!
(AB5700):24gm:[+]{04400631}      | You swing your arm back preparing to throw the spear.
(143270):24gm:[#]{04400631}      | Aiming Zone: Body
(000000):24gm:[Y]{04400631}      | You try to throw your spear at the elk.
(000000):24gm:[Y]{04400631}      | You carry out a perfectly true throw. The spear hits straight on the elk and it doesn't make it out of the way.
(000000):24gm:[T]{04400631}      | The spear pierces its face!
(000000):24gm:[T]{04400631}      | The elk falls prone.
(3C5A98):24gm:[:]{04400631}      | The elk seems to have fallen unconscious.
(3C5A98):24gm:[:]{04400631}      | The water here is shallow enough to wade.
(147870):24gm:[?]{04400631}      | Step into water?
(143270):24gm:[#]{04400630}      | Weapon Aspect: Blunt
(143270):24gm:[#]{04400630}      | Aiming Zone: Skull
(000000):24gm:[Y]{04400630}      | You try to swing the elk with your broad axe.
(143270):24gm:[#]{04400630}      | The attack properties of the broad axe add a decent bonus to the success of your attack.
(000000):24gm:[Y]{04400630}      | You carry out a perfect blow.
(000000):24gm:[Y]{04400630}      | Your broad axe strikes hard to its skull!
(A80000):24gm:[!]{04400630}      | It drops dead in an instant!
(000000):24gm:[@@]{04400630}     | the elk sighs once, then stays laying dead still.
(AB5700):24gm:[+]{04400630}      | Use this command also to unpack your pack animal or pick items from your companion.
(3C5A98):24gm:[:]{04400630}      | You pick up the spear.
(143270):24gm:[#]{04400630}      | Using: HIDEWORKING
(143270):24gm:[#]{04400630}      | Hidework option: Skin an animal
(147870):24gm:[?]{04400630}      | (1) You need knife.
(AB5700):24gm:[+]{04400630}      | The fine hunting knife in your inventory will be used.
(000000):24gm:[O]{04400630}      | Ok, you have all the necessary equipment!
(3C5A98):24gn:[:]{04400630}      | You are feeling rather warm.
(008000):34g0:[=]{04400630}      | Ok, you obtained a harsh elk-skin.
(147870):34g0:[?]{04400630}      | (1) You need cutting weapon - preferably a knife.
(AB5700):34g0:[+]{04400630}      | The fine hunting knife in your inventory will be used.
(000000):34g0:[O]{04400630}      | Ok, you have all the necessary equipment!
(000000):34g0:[Y]{04400630}      | You start to cut the Elk carcass...
(3C5A98):34g1:[:]{04400630}      | You are feeling rather warm.
(008000):34g3:[=]{04400630}      | You got 194 edible cuts of elk meat.
(008000):34g3:[=]{04400630}      | You got elk fat.
(A80000):34g3:[!]{04400630}      | You are not able move ahead due to being fatigued from carrying excess load and the load you are carrying!
(3C5A98):34g4:[:]{04400630}      | You are feeling rather warm.
(663333):34g4:[&]{04400630}      | You have rested away the fatigue.
(3C5A98):34g4:[:]{04400631}      | You get out of the water.
(143270):34g4:[#]{04400631}      | Using: SURVIVAL
(143270):34g4:[#]{04400631}      | SURVIVAL OPTION: Cut branches/twigs from a tree
(147870):34g4:[?]{04400631}      | (1) You need cutting weapon or by hand.
(AB5700):34g4:[+]{04400631}      | The fine hunting knife in your inventory will be used.
(000000):34g4:[O]{04400631}      | Ok, you have all the necessary equipment!
(000000):34g4:[Y]{04400631}      | You finished cutting the branches. They are lying beside you on the ground.
(3C5A98):34g4:[:]{04400631}      | You feel weary.
(147870):34g4:[?]{04400631}      | (1) You need cutting weapon or by hand.
(AB5700):34g4:[+]{04400631}      | The fine hunting knife in your inventory will be used.
(000000):34g4:[O]{04400631}      | Ok, you have all the necessary equipment!
(000000):34g4:[Y]{04400631}      | You finished cutting the branches. They are lying beside you on the ground.
(147870):34g4:[?]{04400631}      | (1) You need cutting weapon or by hand.
(AB5700):34g4:[+]{04400631}      | The fine hunting knife in your inventory will be used.
(000000):34g4:[O]{04400631}      | Ok, you have all the necessary equipment!
(000000):34g4:[Y]{04400631}      | You finished cutting the branches. They are lying beside you on the ground.
(3C5A98):34g4:[:]{04400631}      | You are sleepy and extremely tired.
(143270):34g4:[#]{04400631}      | Using: HIDEWORKING
(143270):34g4:[#]{04400631}      | Hidework option: Clean the skin
(147870):34g4:[?]{04400631}      | (1) You need cutting weapon.
(AB5700):34g4:[+]{04400631}      | The fine hunting knife in your inventory will be used.
(147870):34g4:[?]{04400631}      | (2) You need 9.55 Lbs of water.
(000000):34g4:[T]{04400631}      | There is plenty of water nearby.
(000000):34g4:[O]{04400631}      | Ok, you have all the necessary equipment!
(143270):34g4:[#]{04400631}      | You start to scrape and rinse the skin clean from any remaining flesh and fat.
(3C5A98):34g5:[:]{04400631}      | You are feeling rather warm.
(AB5700):34g8:[+]{04400631}      | You obtained a harsh clean elk-skin which can be now processed further, or cured for preservation.
(A80000):34g8:[!]{04400631}      | You are not able move ahead due to being fatigued from carrying excess load and the load you are carrying!
(3C5A98):34g9:[:]{04400631}      | You are feeling rather warm.
(663333):34g9:[&]{04400631}      | You have rested away the fatigue.
(3C5A98):34g9:[:]{04400631}      | You are too tired to stay on your feet.
(143270):34g9:[#]{04400631}      | Using: HIDEWORKING
(143270):34g9:[#]{04400631}      | Hidework option: De-hair (for rawhide/leather)
(147870):34g9:[?]{04400631}      | (1) You need cutting weapon.
(AB5700):34g9:[+]{04400631}      | The fine hunting knife in your inventory will be used.
(147870):34g9:[?]{04400631}      | (2) You need place for soaking.
(575757):34g9:[_]{04400631}      | (You need to be by open water for a proper soaking.)
(000000):34g9:[O]{04400631}      | Ok, you have all the necessary equipment!
(3C5A98):34ga:[:]{04400631}      | You are feeling rather warm.
(3C5A98):34ga:[:]{04400631}      | The skin is now left to soak in the water to make the hair loosen and fall off easily.
(575757):34ga:[_]{04400631}      | This process should be complete after 11 days.
(3C5A98):34ga:[:]{04400631}      | You lay down and fall asleep.
(143270):34ga:[#]{04400631}      | Zzzz... [HOLD ON]
(3C5A98):34gl:[:]{04400631}      | You wake up.
(663333):34gl:[&]{04400631}      | You get back on your feet.
(3C5A98):34gm:[:]{04400631}      | You are feeling rather warm.
(CC3333):34gm:[&]{04400631}      | You are starving!
(663333):34gm:[&]{04400631}      | You are thirsty.
(143270):34gm:[#]{04400631}      | Using: SURVIVAL
(143270):34gm:[#]{04400631}      | SURVIVAL OPTION: Build a fire
(000000):34gm:[Y]{04400631}      | You managed to make a fire.
(3C5A98):34gm:[:]{04400631}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(143270):34gm:[#]{04400631}      | A game-course event is coming up...
(AB5700):34gm:[+]{04400631}      | You got a fresh pike!
(143270):34gm:[#]{04400631}      | Using: COOKERY
(143270):34gm:[#]{04400631}      | COOKERY OPTIONS: Roast
(147870):34gm:[?]{04400631}      | (1) You need raw meat or fish.
(AB5700):34gm:[+]{04400631}      | The pike in your inventory will be used.
(147870):34gm:[?]{04400631}      | (2) You need fire.
(000000):34gm:[O]{04400631}      | Ok, you have all the necessary equipment!
(008000):34gm:[=]{04400631}      | Ok, you leave a roasted pike to cook and prepare.
(575757):34gm:[_]{04400631}      | This process should be complete in a few hours.
(147870):34gm:[?]{04400631}      | (1) You need raw meat or fish.
(A80000):34gm:[!]{04400631}      | 10 Pieces at a time is the maximum. Selecting 10 pieces.
(AB5700):34gm:[+]{04400631}      | The 10 elk cuts in your inventory will be used.
(147870):34gm:[?]{04400631}      | (2) You need fire.
(000000):34gm:[O]{04400631}      | Ok, you have all the necessary equipment!
(3C5A98):34gn:[:]{04400631}      | You are feeling hot.
(008000):34gn:[=]{04400631}      | Ok, you leave 10 roasted elk cuts to cook and prepare.
(575757):34gn:[_]{04400631}      | This process should be complete in half an hour.
(663333):34gn:[&]{04400631}      | You are thirsty.
(147870):34gn:[?]{04400631}      | (1) You need raw meat or fish.
(A80000):34gn:[!]{04400631}      | 10 Pieces at a time is the maximum. Selecting 10 pieces.
(AB5700):34gn:[+]{04400631}      | The 10 elk cuts in your inventory will be used.
(147870):34gn:[?]{04400631}      | (2) You need fire.
(000000):34gn:[O]{04400631}      | Ok, you have all the necessary equipment!
(008000):34gn:[=]{04400631}      | Ok, you leave 10 roasted elk cuts to cook and prepare.
(575757):34gn:[_]{04400631}      | This process should be complete in half an hour.
(3C5A98):34gn:[:]{04400631}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(147870):34gn:[?]{04400631}      | (1) You need raw meat or fish.
(A80000):34gn:[!]{04400631}      | 10 Pieces at a time is the maximum. Selecting 10 pieces.
(AB5700):34gn:[+]{04400631}      | The 10 elk cuts in your inventory will be used.
(147870):34gn:[?]{04400631}      | (2) You need fire.
(000000):34gn:[O]{04400631}      | Ok, you have all the necessary equipment!
(008000):34gn:[=]{04400631}      | Ok, you leave 10 roasted elk cuts to cook and prepare.
(575757):34gn:[_]{04400631}      | This process should be complete in half an hour.
(147870):34gn:[?]{04400631}      | (1) You need raw meat or fish.
(A80000):34gn:[!]{04400631}      | 10 Pieces at a time is the maximum. Selecting 10 pieces.
(AB5700):34gn:[+]{04400631}      | The 10 elk cuts in your inventory will be used.
(147870):34gn:[?]{04400631}      | (2) You need fire.
(000000):34gn:[O]{04400631}      | Ok, you have all the necessary equipment!
(3C5A98):34gn:[:]{04400631}      | It smells like the roasted elk cut is ready.
(008000):34gn:[=]{04400631}      | Ok, you leave 10 roasted elk cuts to cook and prepare.
(575757):34gn:[_]{04400631}      | This process should be complete in half an hour.
(147870):34gn:[?]{04400631}      | (1) You need raw meat or fish.
(A80000):34gn:[!]{04400631}      | 10 Pieces at a time is the maximum. Selecting 10 pieces.
(AB5700):34gn:[+]{04400631}      | The 10 elk cuts in your inventory will be used.
(147870):34gn:[?]{04400631}      | (2) You need fire.
(000000):34gn:[O]{04400631}      | Ok, you have all the necessary equipment!
(000000):34gn:[T]{04400631}      | The fire is about to burn out soon.
(3C5A98):34gn:[:]{04400631}      | It smells like the roasted elk cut is ready.
(000000):34gn:[T]{04400631}      | The fire is about to burn out soon.
(008000):34gn:[=]{04400631}      | Ok, you leave 10 roasted elk cuts to cook and prepare.
(575757):34gn:[_]{04400631}      | This process should be complete in half an hour.
(000000):34gn:[T]{04400631}      | The fire is about to burn out soon.
(663333):34gn:[&]{04400631}      | You are thirsty.
(575757):34gn:[_]{04400631}      | The roasted pike will be ready in a few hours. You may not pick it up yet.
(575757):34gn:[_]{04400631}      | The roasted elk cut will be ready shortly. You may not pick it up yet.
(575757):34gn:[_]{04400631}      | The roasted elk cut will be ready in half an hour. You may not pick it up yet.
(3C5A98):34gn:[:]{04400631}      | You pick up the 7 roasted elk cuts.
(3C5A98):34gn:[:]{04400631}      | You pick up the 2 roasted elk cuts.
(3C5A98):34gn:[:]{04400631}      | You pick up the roasted elk cut.
(3C5A98):34gn:[:]{04400631}      | You pick up the 8 roasted elk cuts.
(3C5A98):34gn:[:]{04400631}      | You pick up the roasted elk cut.
